HR0,HR1,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR2,HR20,HR21,HR22,HR24,HR25,HR26,HR27,HR28,HR29,HR3,HR4,HR5,HR6,HR7,HR8,HR9,NormativeModel_fitness,label
4,4,0,0,9,0,4,0,0,4,0,9,4,9,14,9,9,0,0,0,0,14,9,9,4,0,9,0,9,0.31818181818181823,Anomalous_0
4,4,4,0,4,9,4,0,0,4,0,4,4,29,4,0,14,0,4,0,0,4,9,0,4,0,4,0,4,0.2702702702702703,Anomalous_1
9,0,9,4,4,9,4,4,0,4,14,4,4,4,9,4,9,0,14,0,4,9,4,0,4,0,4,4,4,0.19512195121951215,Anomalous_10
14,24,4,0,4,4,4,4,0,4,0,4,4,0,4,4,9,0,4,0,9,4,4,4,0,4,9,4,4,0.22499999999999998,Anomalous_100
9,0,0,4,9,4,9,4,0,4,4,0,0,0,4,4,0,0,4,0,4,0,9,0,4,0,4,9,4,0.42105263157894735,Anomalous_101
4,4,4,0,9,9,4,0,0,4,0,4,4,4,4,4,4,0,4,0,4,0,4,0,4,0,4,4,9,0.25806451612903225,Anomalous_102
0,0,4,0,4,4,4,4,4,4,4,9,9,4,0,4,4,0,0,0,4,0,4,14,0,0,4,4,9,0.3513513513513513,Anomalous_103
14,4,4,0,9,4,9,4,4,4,0,0,4,4,9,14,4,0,9,0,4,0,4,4,4,0,4,4,4,0.16666666666666663,Anomalous_104
4,9,4,4,9,4,14,0,0,4,0,4,4,4,4,4,4,0,14,0,4,0,4,0,4,0,4,4,4,0.22857142857142854,Anomalous_105
9,4,0,9,4,4,4,4,0,9,0,14,0,4,4,4,4,9,4,0,4,4,4,4,4,4,4,4,9,0.24390243902439024,Anomalous_106
9,4,0,9,4,4,4,4,0,9,0,14,0,4,4,4,4,9,4,0,4,4,4,4,4,4,4,4,9,0.24390243902439024,Anomalous_107
0,9,4,0,14,0,4,4,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,14,0,0,0,0,0,0.6590909090909092,Anomalous_108
0,9,0,0,9,4,4,4,0,0,0,14,9,4,9,4,4,0,4,4,4,0,14,4,4,4,4,4,4,0.2564102564102564,Anomalous_109
4,9,0,0,0,4,4,9,0,4,0,9,4,4,4,4,9,0,4,0,4,4,4,0,4,4,4,0,4,0.25,Anomalous_11
4,4,4,0,4,14,4,4,0,4,0,4,0,9,4,9,0,4,4,4,0,4,9,4,4,4,0,9,4,0.26315789473684215,Anomalous_110
9,4,4,9,4,0,4,4,9,0,0,4,0,0,4,9,0,0,4,0,0,4,4,0,4,0,9,0,4,0.37142857142857144,Anomalous_111
14,4,4,0,0,9,4,9,4,4,0,4,14,0,4,0,4,9,4,0,0,4,0,0,4,0,4,0,4,0.41860465116279066,Anomalous_112
4,4,0,0,4,9,4,9,0,4,0,4,4,4,4,4,0,4,4,4,4,4,4,9,0,0,4,0,4,0.2727272727272727,Anomalous_113
4,4,0,0,4,4,4,0,0,4,0,4,4,19,9,4,4,9,4,0,4,4,4,4,4,4,4,4,4,0.17647058823529416,Anomalous_114
14,4,14,0,14,4,4,4,0,0,9,9,0,4,14,0,4,4,4,4,4,4,4,4,4,0,4,4,0,0.28888888888888886,Anomalous_115
4,4,4,0,4,0,4,4,0,4,0,4,4,4,0,0,9,0,9,0,0,4,9,0,9,0,0,4,4,0.32258064516129037,Anomalous_116
4,4,4,0,4,0,4,4,0,4,0,4,4,4,0,0,9,0,9,0,0,4,9,0,9,0,0,4,4,0.32258064516129037,Anomalous_117
4,4,4,0,4,9,4,4,4,4,9,4,0,4,4,4,9,0,4,0,4,4,4,4,0,9,0,0,9,0.25,Anomalous_118
9,4,4,0,14,4,14,4,4,4,0,0,4,4,4,0,4,0,4,0,4,4,4,0,4,0,4,4,4,0.3157894736842105,Anomalous_119
9,4,4,0,14,4,14,4,4,4,0,0,4,4,4,0,4,0,4,0,4,4,4,0,4,0,4,4,4,0.3157894736842105,Anomalous_12
4,9,9,0,9,4,14,0,0,4,0,4,4,4,4,4,4,0,14,0,4,0,4,0,4,0,4,4,4,0.22857142857142854,Anomalous_120
9,4,4,0,4,0,4,0,14,4,0,4,4,9,4,0,9,0,4,0,9,4,9,0,0,0,9,0,4,0.2777777777777778,Anomalous_121
14,9,4,0,9,4,0,4,0,9,0,9,0,4,9,4,14,9,0,0,4,0,4,0,0,4,4,14,4,0.2790697674418605,Anomalous_122
4,9,0,0,9,4,4,0,0,4,0,4,4,4,9,4,4,9,4,4,4,4,4,0,0,0,4,4,4,0.24242424242424243,Anomalous_123
4,4,4,4,4,0,4,4,0,4,0,4,14,0,4,4,0,0,4,0,4,14,0,0,4,0,4,0,4,0.38888888888888884,Anomalous_124
19,4,0,4,0,9,9,9,0,9,0,4,19,9,14,9,9,0,4,0,9,9,0,0,4,0,9,0,0,0.21739130434782605,Anomalous_125
4,0,0,0,0,4,9,4,0,0,0,9,4,4,0,4,14,0,4,0,4,0,4,4,4,0,4,4,0,0.4444444444444444,Anomalous_126
4,14,0,0,9,9,4,0,0,4,0,4,4,0,9,9,9,0,0,0,0,4,0,0,9,0,0,9,4,0.368421052631579,Anomalous_127
4,4,4,0,4,4,14,4,9,0,0,9,0,4,0,4,4,0,0,0,4,14,4,0,9,0,4,14,4,0.2432432432432432,Anomalous_128
9,9,4,0,14,0,0,4,0,0,0,9,0,9,4,9,0,0,4,0,9,0,0,4,4,4,9,0,0,0.4418604651162791,Anomalous_129
4,4,0,9,9,4,4,0,0,4,0,0,4,4,9,4,4,4,4,0,4,4,4,0,4,0,4,4,4,0.2941176470588235,Anomalous_13
0,9,4,0,0,4,9,4,0,4,0,9,0,4,9,0,9,4,0,0,9,0,0,4,4,4,0,4,9,0.4418604651162791,Anomalous_130
0,9,4,4,0,4,0,0,9,0,0,9,0,4,4,4,4,0,4,0,4,0,4,4,4,0,4,4,0,0.4285714285714286,Anomalous_131
4,0,4,0,0,4,9,4,0,4,9,4,4,9,9,4,14,0,4,0,4,4,4,0,4,4,4,4,4,0.26315789473684215,Anomalous_132
4,4,4,4,9,9,4,4,4,4,0,0,4,0,4,9,9,0,4,0,0,4,9,9,0,4,9,9,4,0.23076923076923073,Anomalous_133
4,4,0,0,9,9,4,0,0,4,0,0,4,9,14,9,9,0,0,0,0,14,9,9,4,0,9,0,9,0.31818181818181823,Anomalous_134
4,4,4,0,0,4,4,4,0,4,0,4,4,0,0,4,0,0,9,0,0,4,4,0,0,9,4,4,4,0.40625,Anomalous_135
0,9,0,0,4,0,0,4,0,0,9,9,9,0,4,9,9,0,4,0,9,0,9,4,4,0,0,4,9,0.40476190476190477,Anomalous_136
9,9,0,0,0,0,0,0,0,0,0,9,0,9,4,0,0,0,4,9,9,0,0,0,4,0,0,9,9,0.5581395348837209,Anomalous_137
0,4,4,0,4,4,0,4,0,9,0,9,9,9,4,0,14,0,0,0,9,0,0,0,14,0,0,9,9,0.38095238095238093,Anomalous_138
4,4,4,0,4,0,4,4,0,4,0,4,4,4,4,4,0,9,4,0,4,4,9,0,0,0,0,4,4,0.32258064516129037,Anomalous_139
4,14,0,0,9,9,4,0,0,4,0,4,4,0,9,9,9,0,0,0,0,4,0,0,9,0,0,9,4,0.368421052631579,Anomalous_14
9,4,4,0,4,0,0,4,4,4,9,0,4,9,4,4,0,4,4,0,0,0,4,4,4,0,9,4,4,0.4,Anomalous_140
0,9,4,0,4,4,9,4,0,4,4,0,0,4,9,4,9,0,4,0,4,0,9,4,0,0,4,4,0,0.32352941176470584,Anomalous_141
4,4,4,0,4,4,4,4,0,0,0,0,4,4,9,4,4,0,0,0,4,9,4,0,0,0,4,9,9,0.33333333333333337,Anomalous_142
4,4,0,4,14,4,0,9,0,4,0,4,4,4,0,4,4,0,9,0,24,4,4,0,0,0,4,4,9,0.26315789473684215,Anomalous_143
4,14,4,0,4,4,14,9,0,4,0,0,9,4,4,4,4,0,0,4,24,4,4,4,4,0,4,4,4,0.17948717948717952,Anomalous_144
4,9,0,0,9,4,14,4,0,0,0,9,9,0,4,9,4,0,4,0,0,4,4,0,4,0,0,0,4,0.3783783783783784,Anomalous_145
4,4,4,0,4,9,4,4,0,4,0,4,4,4,9,4,4,0,4,0,4,0,9,4,4,0,4,0,4,0.19999999999999996,Anomalous_146
0,9,4,0,4,0,0,4,0,0,0,9,9,9,4,9,9,4,0,4,0,0,4,14,0,4,0,0,9,0.4444444444444444,Anomalous_147
4,9,0,0,0,4,4,0,4,0,0,4,0,4,0,4,4,0,0,0,4,9,4,0,4,4,4,4,14,0.41666666666666663,Anomalous_148
4,4,0,9,9,9,4,4,9,4,0,4,4,4,0,9,9,9,0,0,0,4,9,0,0,0,0,9,4,0.28205128205128205,Anomalous_149
9,0,14,0,4,9,4,4,0,4,14,4,4,4,9,4,9,0,14,0,4,9,4,0,4,0,4,4,4,0.19512195121951215,Anomalous_15
4,4,4,0,4,4,4,4,0,4,0,9,4,4,9,4,4,0,0,0,4,9,4,0,0,9,4,24,4,0.23684210526315785,Anomalous_150
4,4,4,0,4,4,4,4,0,4,0,4,4,9,0,0,9,0,0,0,4,4,9,0,4,4,9,9,4,0.2647058823529411,Anomalous_151
4,4,0,0,4,4,4,0,0,4,0,4,4,19,9,4,4,9,4,0,4,4,4,4,4,4,4,4,4,0.17647058823529416,Anomalous_152
4,14,0,0,9,4,0,4,0,14,0,4,4,9,9,4,4,4,0,4,4,4,0,4,4,4,0,4,9,0.275,Anomalous_153
19,4,4,0,4,0,4,4,0,4,0,4,14,4,0,4,9,0,4,0,4,4,4,0,4,4,0,9,4,0.3076923076923077,Anomalous_154
4,4,4,0,9,9,4,4,0,4,0,4,4,0,4,0,9,0,0,0,0,4,4,4,4,0,0,0,4,0.4117647058823529,Anomalous_155
4,4,4,0,4,4,0,4,4,4,0,4,4,4,4,24,9,0,4,0,9,4,4,0,4,0,4,4,4,0.125,Anomalous_156
4,4,0,0,4,0,4,4,0,4,4,9,4,4,14,4,4,0,4,0,14,4,4,4,4,0,4,4,4,0.2702702702702703,Anomalous_157
14,4,0,4,9,4,4,4,0,4,0,4,4,4,4,4,4,0,4,0,4,4,4,0,4,0,4,4,4,0.13793103448275867,Anomalous_158
0,4,4,0,4,4,9,4,0,0,0,9,0,0,9,4,4,0,4,0,4,0,4,0,0,0,0,4,0,0.5142857142857142,Anomalous_159
4,4,4,0,4,9,4,4,0,4,0,4,4,4,9,4,4,0,4,0,4,0,9,4,4,0,4,0,4,0.19999999999999996,Anomalous_16
0,0,4,0,14,4,0,4,9,0,0,0,0,4,9,4,14,0,0,0,4,0,4,0,9,0,4,4,0,0.46153846153846156,Anomalous_160
4,0,0,0,0,4,0,4,0,0,0,9,0,4,0,4,4,0,19,0,4,0,4,9,0,0,4,4,9,0.5238095238095238,Anomalous_161
4,4,4,0,4,0,9,4,0,0,0,9,4,0,9,0,4,0,4,0,0,4,0,14,0,0,0,0,4,0.5,Anomalous_162
0,9,4,0,0,4,9,4,0,4,0,9,0,4,9,0,9,4,0,0,9,0,0,4,4,4,0,4,9,0.4418604651162791,Anomalous_163
4,4,0,0,4,0,4,9,0,4,0,4,4,9,4,9,4,0,4,0,4,4,0,0,4,4,4,0,4,0.2666666666666667,Anomalous_164
9,0,9,4,4,9,4,4,0,4,14,4,4,4,9,4,9,0,14,0,4,9,4,0,4,0,4,4,4,0.19512195121951215,Anomalous_165
9,0,4,4,9,0,9,9,0,4,0,9,9,4,4,0,9,0,24,0,4,0,4,0,4,0,9,14,4,0.2666666666666667,Anomalous_166
4,9,9,0,0,0,4,0,0,4,0,4,4,0,4,0,9,0,0,4,9,4,9,0,4,0,9,0,4,0.37142857142857144,Anomalous_167
4,0,4,0,4,9,4,4,0,4,0,4,4,9,9,9,0,0,0,0,4,4,4,4,4,4,4,4,4,0.2857142857142857,Anomalous_168
4,4,4,0,4,4,4,4,0,4,0,9,4,4,9,4,4,0,0,0,4,9,4,0,0,9,4,24,4,0.23684210526315785,Anomalous_169
4,4,0,0,4,0,4,9,0,4,0,4,4,9,4,9,4,0,4,0,4,4,0,0,4,4,4,0,4,0.2666666666666667,Anomalous_17
14,4,4,0,0,9,4,9,4,4,0,4,14,0,4,0,4,9,4,0,0,4,0,0,4,0,4,0,4,0.41860465116279066,Anomalous_170
0,0,4,4,0,4,0,0,0,0,0,9,0,4,4,4,4,0,0,0,4,0,4,0,4,4,4,4,0,0.5833333333333333,Anomalous_171
4,9,9,0,0,0,4,0,0,4,0,4,4,0,4,0,9,0,0,4,9,4,9,0,4,0,9,0,4,0.37142857142857144,Anomalous_172
4,4,0,4,9,4,4,9,0,4,0,4,4,4,4,0,4,0,4,0,4,4,4,0,4,0,4,4,4,0.303030303030303,Anomalous_173
4,4,4,0,0,4,4,4,0,4,0,4,4,0,0,4,0,0,9,0,0,4,4,0,0,9,4,4,4,0.40625,Anomalous_174
0,0,4,0,4,0,0,4,9,0,0,0,0,9,9,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0.7073170731707317,Anomalous_175
4,4,0,0,9,9,4,9,0,4,0,9,4,0,4,4,0,0,4,0,4,9,14,0,4,0,4,4,4,0.3157894736842105,Anomalous_176
4,4,4,4,9,9,4,4,9,4,0,4,4,4,0,9,9,9,0,0,0,4,9,0,0,0,0,9,4,0.28205128205128205,Anomalous_177
14,24,4,0,4,4,4,4,0,4,0,4,4,0,4,4,9,0,4,0,9,4,4,4,0,4,9,4,4,0.22499999999999998,Anomalous_178
4,4,0,0,4,9,4,9,0,4,0,4,4,4,4,4,0,4,4,4,4,4,4,9,0,0,4,0,4,0.2727272727272727,Anomalous_179
4,4,9,0,4,4,14,9,0,4,0,4,4,4,9,4,4,0,9,0,4,4,4,0,0,0,4,4,4,0.22857142857142854,Anomalous_18
9,0,14,0,4,9,4,4,0,4,14,4,4,4,9,4,9,0,14,0,4,9,4,0,4,0,4,4,4,0.19512195121951215,Anomalous_180
0,9,4,0,14,0,4,4,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,14,0,0,0,0,0,0.6590909090909092,Anomalous_181
0,0,4,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0.825,Anomalous_182
4,4,0,4,4,9,0,4,0,4,4,14,9,4,4,4,14,0,0,0,0,0,0,4,4,0,9,9,9,0.33333333333333337,Anomalous_183
4,4,0,0,4,4,4,0,0,4,0,4,4,19,9,4,4,9,4,0,4,4,4,4,4,4,4,4,4,0.17647058823529416,Anomalous_184
4,4,4,0,0,4,4,0,9,4,9,4,24,0,4,4,4,0,4,0,4,4,0,0,0,0,4,4,4,0.32432432432432434,Anomalous_185
4,4,4,0,0,4,4,9,0,0,0,4,4,4,4,0,4,0,4,0,4,4,4,0,9,0,9,4,9,0.25806451612903225,Anomalous_186
4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,9,9,0,4,0,14,4,0,0,4,0,4,0,0,0.6097560975609756,Anomalous_187
4,9,0,0,9,4,0,9,0,4,0,9,0,4,9,4,4,4,0,0,4,0,4,0,4,4,4,4,4,0.3846153846153846,Anomalous_188
0,0,4,0,4,4,4,4,4,4,4,9,9,4,0,4,4,0,0,0,4,0,4,14,0,0,4,4,9,0.3513513513513513,Anomalous_189
4,4,4,0,4,4,0,4,0,4,0,0,9,9,0,4,4,0,9,0,4,0,4,0,0,0,4,4,4,0.4117647058823529,Anomalous_19
4,4,4,0,9,4,0,4,0,0,0,14,4,14,9,4,4,4,4,4,4,4,4,0,4,0,4,4,4,0.26315789473684215,Anomalous_190
4,4,0,9,0,4,0,0,0,4,0,0,4,4,0,4,4,4,4,4,4,4,19,0,0,0,4,4,4,0.4054054054054054,Anomalous_191
0,0,4,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0.825,Anomalous_192
4,4,0,0,4,0,4,4,0,4,4,9,4,4,14,4,4,0,4,0,14,4,4,4,4,0,4,4,4,0.2702702702702703,Anomalous_193
9,0,0,4,9,4,9,4,0,4,4,0,0,0,4,4,0,0,4,0,4,0,9,0,4,0,4,9,4,0.42105263157894735,Anomalous_194
0,9,0,0,9,4,9,9,0,4,0,0,4,4,4,0,0,0,4,0,4,4,0,0,4,0,4,4,9,0.4,Anomalous_195
4,4,9,0,0,0,4,0,0,4,0,4,4,4,0,9,9,0,0,9,0,4,4,4,4,4,0,4,4,0.37142857142857144,Anomalous_196
4,4,0,9,9,4,4,4,0,4,0,4,4,9,4,0,9,0,9,0,4,4,0,0,9,0,9,4,4,0.22857142857142854,Anomalous_197
4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,9,9,0,4,0,14,4,0,0,4,0,4,0,0,0.6097560975609756,Anomalous_198
4,4,4,0,4,9,4,4,0,4,0,4,4,4,9,4,4,0,4,0,4,0,0,4,4,0,4,9,4,0.19999999999999996,Anomalous_199
0,0,4,0,14,4,0,4,9,0,0,0,0,4,9,4,14,0,0,0,4,0,4,0,9,0,4,4,0,0.46153846153846156,Anomalous_2
4,4,0,0,9,4,4,9,0,4,0,9,4,4,14,4,9,0,4,0,4,9,4,0,4,0,4,0,4,0.18181818181818177,Anomalous_20
4,4,4,0,14,0,4,4,14,4,4,4,4,0,0,9,0,0,0,0,0,19,9,0,4,0,9,0,0,0.40909090909090906,Anomalous_21
0,9,0,0,4,0,0,4,0,0,9,9,9,0,4,9,9,0,4,0,9,0,9,4,4,0,0,4,9,0.40476190476190477,Anomalous_22
9,14,4,4,4,9,9,0,0,4,0,0,9,4,4,4,4,0,4,0,4,4,9,0,4,0,4,4,0,0.3076923076923077,Anomalous_23
9,4,4,0,4,4,4,4,0,9,0,4,4,4,4,4,0,0,4,0,4,4,9,0,4,0,4,4,4,0.19999999999999996,Anomalous_24
0,9,4,4,0,4,0,0,9,0,0,9,0,4,4,4,4,0,4,0,4,0,4,4,4,0,4,4,0,0.4285714285714286,Anomalous_25
14,4,4,0,4,4,9,4,0,0,0,9,0,4,4,4,4,4,0,4,4,0,4,4,0,4,4,4,0,0.2941176470588235,Anomalous_26
4,9,4,0,9,0,0,4,4,4,0,9,4,0,14,9,0,0,9,0,4,0,9,0,4,0,0,0,9,0.3589743589743589,Anomalous_27
4,0,4,4,9,4,4,0,0,4,0,4,4,4,4,4,4,0,4,0,9,0,4,0,4,0,4,4,9,0.303030303030303,Anomalous_28
0,0,4,0,14,4,0,4,9,0,0,0,0,4,9,4,14,0,0,0,4,0,4,0,9,0,4,4,0,0.46153846153846156,Anomalous_29
4,4,0,0,9,0,4,0,0,4,0,9,4,9,14,9,9,0,0,0,0,14,9,9,4,0,9,0,9,0.31818181818181823,Anomalous_3
14,9,4,0,9,4,0,4,0,9,0,9,0,4,9,4,14,9,0,0,4,0,4,0,0,4,4,14,4,0.2790697674418605,Anomalous_30
4,9,4,4,0,0,4,0,0,4,0,4,4,0,4,0,9,0,0,4,9,4,9,0,4,0,9,0,4,0.37142857142857144,Anomalous_31
4,9,4,0,9,0,0,4,4,4,0,9,4,0,14,9,0,0,9,0,4,0,9,0,4,0,0,0,9,0.3589743589743589,Anomalous_32
4,4,4,0,4,4,4,4,0,4,0,4,4,9,0,0,9,0,0,0,4,4,9,0,4,4,9,9,4,0.2647058823529411,Anomalous_33
