t11,t21,t35,t41,t51,t61,t71,t81,t91,t32,t26,t36,t62,t54,t66,t75,t82,t31,t44,t65,t76,t74,t64,t53,t43,t34,t24,t73,t63,t52,t42,t33,t23,t72,t25,t22,label
0,1,3,1,1,1,1,0,0,1,7,4,0,7,6,0,0,0,7,1,7,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,Normal_156
0,5,6,5,5,1,5,0,0,4,5,0,9,5,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_157
0,5,3,5,5,0,4,0,0,3,5,2,5,5,1,0,0,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_158
0,2,4,4,4,1,4,0,0,1,4,0,7,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_159
0,6,3,9,11,4,11,0,0,3,13,4,3,12,5,0,0,6,13,8,5,7,7,0,0,8,8,6,6,0,0,4,4,0,0,0,Normal_16
3,9,8,12,8,6,8,2,3,4,9,2,8,8,3,2,2,5,3,5,3,4,4,1,1,5,5,4,4,3,5,8,8,0,0,0,Normal_160
5,3,7,3,4,1,2,2,5,2,13,10,3,18,9,11,4,1,17,9,7,3,14,14,13,13,9,0,2,2,1,1,1,2,4,0,Normal_161
5,5,8,5,5,1,5,5,5,2,5,0,9,5,3,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_162
5,4,2,4,4,0,4,4,5,3,4,0,5,4,1,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_163
0,8,5,10,10,2,10,0,0,7,8,3,9,10,6,2,0,1,6,4,3,5,5,0,0,3,3,5,5,0,0,5,5,0,0,0,Normal_164
0,2,3,2,2,1,2,0,0,1,8,6,9,7,4,7,0,0,0,3,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,Normal_165
5,2,3,3,3,3,3,2,6,2,9,3,0,7,7,0,4,1,9,0,5,3,3,3,5,5,5,1,1,1,1,1,1,0,0,0,Normal_166
5,3,0,5,5,3,5,5,5,2,2,2,2,2,0,0,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_167
0,2,4,4,4,1,4,0,0,1,4,0,7,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_168
0,7,5,7,6,4,6,0,0,4,11,6,2,7,3,0,0,3,11,4,7,2,2,0,0,6,6,1,1,0,0,2,2,0,0,0,Normal_169
0,2,3,2,2,1,2,0,0,1,8,6,9,7,4,7,0,0,0,3,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,Normal_17
0,4,7,9,17,6,11,0,0,3,11,7,9,20,11,2,0,6,16,9,0,8,15,0,0,14,6,6,12,0,0,4,1,0,0,0,Normal_170
5,3,2,3,2,2,3,3,5,3,4,2,1,4,2,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_171
0,7,10,14,13,5,13,0,0,8,11,1,15,10,7,4,0,0,0,3,0,5,5,0,0,5,5,8,8,0,0,9,9,0,0,0,Normal_172
0,5,5,5,5,2,5,0,0,3,5,3,8,5,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_173
0,3,3,5,3,0,3,0,0,3,3,1,6,4,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,Normal_174
0,3,0,5,5,3,5,0,0,3,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_175
5,1,4,5,5,1,6,5,5,3,5,1,1,5,1,0,5,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_176
5,11,10,11,12,4,12,5,5,4,9,6,17,10,7,10,5,0,0,3,0,5,5,5,4,4,4,7,7,0,13,6,6,0,0,0,Normal_177
5,3,7,7,18,4,8,5,5,3,9,4,21,11,6,7,5,0,0,5,0,3,6,6,7,7,4,3,13,0,15,2,2,10,3,0,Normal_178
0,5,3,5,5,2,5,0,0,3,5,1,8,5,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_179
5,0,5,4,2,1,2,2,5,1,7,3,5,8,5,1,4,1,2,3,3,4,4,4,3,3,3,0,0,0,2,2,2,0,0,0,Normal_18
0,5,2,5,5,3,5,0,0,3,5,3,2,5,3,0,0,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_180
5,3,7,5,5,1,5,5,5,2,5,1,6,5,2,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_181
0,9,8,9,10,5,10,0,0,5,7,3,12,3,0,3,0,0,0,3,0,2,2,0,0,6,6,6,6,0,0,5,5,0,0,0,Normal_182
5,3,8,9,19,6,9,5,5,5,10,7,27,15,5,11,5,0,0,11,0,6,11,11,14,14,5,4,14,0,18,4,1,10,8,3,Normal_183
0,2,1,5,5,2,5,0,0,4,10,5,2,7,5,0,0,1,10,2,5,3,3,0,0,6,6,1,1,0,0,1,1,0,0,0,Normal_184
0,8,5,10,10,2,10,0,0,7,8,3,9,10,6,2,0,1,6,4,3,5,5,0,0,3,3,5,5,0,0,5,5,0,0,0,Normal_185
0,5,2,5,5,1,5,0,0,2,6,3,4,5,1,0,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_186
0,7,5,7,6,4,6,0,0,4,11,6,2,7,3,0,0,3,11,4,7,2,2,0,0,6,6,1,1,0,0,2,2,0,0,0,Normal_187
0,4,1,5,4,0,4,0,0,3,5,0,4,5,4,0,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_188
0,2,2,2,2,1,2,0,0,1,3,1,1,3,1,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_189
0,7,5,7,6,4,6,0,0,4,11,6,2,7,3,0,0,3,11,4,7,2,2,0,0,6,6,1,1,0,0,2,2,0,0,0,Normal_19
5,6,3,6,10,6,10,5,4,1,6,3,4,5,3,0,5,5,6,2,5,0,0,0,1,1,1,5,5,5,1,1,1,0,0,0,Normal_190
0,4,3,7,10,2,5,0,0,5,4,0,4,12,5,0,0,2,4,7,3,2,9,0,0,1,1,1,6,0,0,3,2,0,0,0,Normal_191
5,3,7,3,4,1,2,2,5,2,13,10,3,18,9,11,4,1,17,9,7,3,14,14,13,13,9,0,2,2,1,1,1,2,4,0,Normal_192
5,4,2,4,4,1,4,4,5,2,3,3,6,3,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_193
5,5,0,5,13,7,13,3,5,2,2,3,6,3,1,0,3,3,3,2,3,0,0,0,0,0,0,10,10,10,2,2,2,0,0,0,Normal_194
0,3,2,3,3,0,3,0,0,2,3,1,3,3,2,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_195
5,2,3,2,2,1,2,2,5,1,5,3,3,6,4,2,4,0,3,2,4,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,Normal_196
0,2,11,13,11,3,7,0,0,7,7,5,15,16,7,7,0,0,0,9,0,6,11,0,0,6,2,2,6,0,0,8,4,0,0,0,Normal_197
0,7,10,7,9,7,9,0,0,2,9,2,7,10,5,6,0,2,4,5,5,5,5,0,0,4,4,4,4,0,0,2,2,0,0,0,Normal_198
5,1,4,6,9,3,9,5,5,5,7,1,5,5,4,0,5,1,7,1,4,0,0,0,2,2,2,4,4,4,1,1,1,0,0,0,Normal_199
5,4,1,4,4,3,4,4,5,2,2,1,1,2,1,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_2
5,5,3,5,5,2,5,5,5,3,5,2,3,5,2,0,5,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_20
5,7,4,12,17,3,17,5,5,4,12,2,10,7,3,0,5,8,12,4,3,2,2,2,7,7,7,12,12,12,7,7,7,0,0,0,Normal_21
5,4,7,5,10,2,10,4,5,1,13,5,18,8,4,4,4,0,0,4,0,4,4,4,9,9,9,6,6,0,7,1,1,0,0,0,Normal_22
0,3,0,5,5,3,5,0,0,3,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_23
5,0,2,2,3,1,3,2,5,2,5,1,2,4,3,0,4,0,5,1,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Normal_24
0,3,3,5,3,0,3,0,0,3,3,1,6,4,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,Normal_25
5,8,8,11,11,6,11,5,5,7,11,3,14,9,2,4,5,0,0,7,0,4,4,4,6,6,6,6,6,0,12,6,6,0,0,0,Normal_26
5,3,7,7,18,4,8,5,5,3,9,4,21,11,6,7,5,0,0,5,0,3,6,6,7,7,4,3,13,0,15,2,2,10,3,0,Normal_27
0,2,11,13,11,3,7,0,0,7,7,5,15,16,7,7,0,0,0,9,0,6,11,0,0,6,2,2,6,0,0,8,4,0,0,0,Normal_28
5,6,13,14,18,4,10,5,5,7,10,2,24,14,5,12,5,0,0,9,0,3,9,9,8,8,5,5,13,0,22,9,5,8,3,4,Normal_29
5,2,4,2,4,1,3,2,5,2,6,3,10,8,3,6,4,0,0,5,0,1,4,4,5,5,2,1,2,0,2,0,0,1,3,0,Normal_3
0,2,2,2,2,2,2,0,0,1,4,3,4,5,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_30
5,5,3,5,5,3,5,5,5,3,5,5,7,5,3,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_31
0,8,5,10,10,2,10,0,0,7,8,3,9,10,6,2,0,1,6,4,3,5,5,0,0,3,3,5,5,0,0,5,5,0,0,0,Normal_32
0,4,3,4,4,1,4,0,0,1,4,1,3,4,4,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_33
5,0,5,4,2,1,2,2,5,1,7,3,5,8,5,1,4,1,2,3,3,4,4,4,3,3,3,0,0,0,2,2,2,0,0,0,Normal_34
0,2,5,5,5,1,5,0,0,1,4,1,7,4,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_35
0,1,3,7,9,0,4,0,0,2,2,0,5,5,3,0,0,5,3,2,2,0,2,0,0,1,0,1,6,0,0,4,1,0,0,0,Normal_36
0,4,3,7,10,2,5,0,0,5,4,0,4,12,5,0,0,2,4,7,3,2,9,0,0,1,1,1,6,0,0,3,2,0,0,0,Normal_37
5,4,3,13,20,5,9,5,5,8,13,9,9,25,11,11,5,5,23,14,8,9,20,20,18,18,8,4,15,15,8,8,5,11,10,3,Normal_38
0,5,17,8,14,8,7,0,0,1,16,11,27,23,12,9,0,0,0,11,0,4,18,0,0,16,11,4,11,0,0,5,2,0,0,0,Normal_39
0,8,12,13,37,15,14,0,0,8,10,7,36,15,11,4,0,1,1,4,1,0,10,0,0,10,5,9,32,0,0,8,3,0,0,0,Normal_4
5,3,2,3,2,2,3,3,5,3,4,2,1,4,2,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_40
5,5,2,5,5,3,5,5,5,4,5,3,2,5,3,0,5,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_41
0,1,3,7,9,0,4,0,0,2,2,0,5,5,3,0,0,5,3,2,2,0,2,0,0,1,0,1,6,0,0,4,1,0,0,0,Normal_42
0,3,2,3,3,0,3,0,0,2,3,1,3,3,2,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_43
0,6,5,6,3,2,3,0,0,3,4,2,5,4,3,4,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,3,3,0,0,0,Normal_44
5,7,16,7,13,8,5,4,5,1,7,5,20,15,7,15,3,0,0,8,0,5,12,12,12,12,4,1,9,0,12,3,3,8,8,0,Normal_45
5,5,3,5,5,3,5,5,5,3,5,5,7,5,3,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_46
0,5,2,5,5,3,5,0,0,3,5,3,2,5,3,0,0,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_47
0,2,11,3,11,3,5,0,0,1,6,1,18,13,8,6,0,0,0,5,0,3,10,0,0,7,3,3,9,0,0,1,0,0,0,0,Normal_48
0,5,4,5,5,2,5,0,0,1,5,1,3,5,4,0,0,4,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_49
0,1,3,4,4,1,4,0,0,3,3,0,6,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_5
5,5,2,5,5,2,5,5,5,4,5,3,3,5,3,0,5,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_50
0,6,5,11,10,0,10,0,0,5,9,4,6,6,4,0,0,6,9,2,2,1,1,0,0,4,4,5,5,0,0,6,7,0,0,0,Normal_51
5,7,12,8,20,7,9,5,5,3,11,11,31,28,12,28,5,0,0,16,0,9,23,23,13,13,6,4,15,0,18,3,2,11,7,1,Normal_52
5,4,1,4,4,2,4,4,5,1,2,1,2,2,1,0,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_53
0,8,10,10,13,4,5,0,0,5,8,4,18,16,8,7,0,0,0,8,0,4,13,0,0,6,5,2,10,0,0,7,5,0,0,0,Normal_54
0,5,6,14,30,7,14,0,0,7,9,5,14,11,6,0,0,7,13,5,5,4,6,0,0,8,4,10,25,0,0,9,2,0,0,0,Normal_55
0,8,10,10,13,4,5,0,0,5,8,4,18,16,8,7,0,0,0,8,0,4,13,0,0,6,5,2,10,0,0,7,5,0,0,0,Normal_56
0,4,3,4,4,1,4,0,0,1,4,1,3,4,4,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_57
0,1,1,1,1,0,1,0,0,1,5,4,6,5,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_58
5,6,4,5,5,0,5,5,5,5,5,1,10,5,1,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_59
0,5,2,5,5,1,5,0,0,2,6,3,4,5,1,0,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_6
0,1,5,9,10,4,4,0,0,5,3,1,11,6,3,1,0,0,0,3,0,3,4,0,0,3,1,1,7,0,0,6,3,0,0,0,Normal_60
5,2,4,3,3,0,3,3,5,2,4,0,5,4,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_61
5,2,4,2,4,1,3,2,5,2,6,3,10,8,3,6,4,0,0,5,0,1,4,4,5,5,2,1,2,0,2,0,0,1,3,0,Normal_62
0,2,4,4,4,1,4,0,0,1,4,0,7,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_63
0,10,4,10,11,3,11,0,0,7,6,2,8,7,3,0,0,3,6,4,7,2,2,0,0,1,1,6,6,0,0,5,5,0,0,0,Normal_64
5,4,3,6,9,0,6,3,5,5,5,2,8,12,9,2,5,1,7,3,6,5,7,7,2,2,0,3,6,6,3,3,3,3,2,0,Normal_65
5,3,7,5,10,3,5,3,5,3,7,3,13,14,6,7,4,0,0,8,0,5,10,10,7,7,3,2,7,0,9,2,2,5,4,0,Normal_66
5,3,3,3,3,2,3,3,5,2,4,1,1,4,3,0,4,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_67
0,3,0,5,6,2,5,0,0,2,5,4,1,5,2,0,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_68
5,5,2,5,5,3,5,5,5,2,5,3,2,5,2,0,5,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_69
0,5,2,5,5,1,5,0,0,3,5,5,9,5,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_7
5,3,7,3,4,1,2,2,5,2,13,10,3,18,9,11,4,1,17,9,7,3,14,14,13,13,9,0,2,2,1,1,1,2,4,0,Normal_70
0,8,11,8,9,2,9,0,0,2,6,1,13,6,1,6,0,0,0,5,0,1,1,0,0,1,1,4,4,0,0,3,3,0,0,0,Normal_71
5,4,7,5,10,2,10,4,5,1,13,5,18,8,4,4,4,0,0,4,0,4,4,4,9,9,9,6,6,0,7,1,1,0,0,0,Normal_72
5,3,2,3,2,2,3,3,5,3,4,2,1,4,2,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_73
5,2,2,10,28,7,15,3,4,7,4,1,11,6,4,1,2,3,5,2,1,3,4,4,3,3,2,12,25,26,7,7,2,13,1,5,Normal_74
5,3,14,3,6,3,3,3,5,2,13,8,3,22,11,17,3,1,22,11,5,2,19,19,19,19,10,0,3,3,0,0,0,3,9,0,Normal_75
6,7,4,12,18,5,18,5,5,5,11,2,8,7,2,0,5,6,11,5,2,2,2,2,6,6,6,13,13,13,7,7,7,0,0,0,Normal_76
5,4,1,4,4,3,4,4,5,2,2,1,1,2,1,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_77
0,4,6,8,8,4,8,0,0,5,10,4,12,10,5,6,0,0,0,5,0,5,5,0,0,5,5,3,3,0,0,3,3,0,0,0,Normal_78
5,8,4,8,12,7,12,5,5,2,9,5,5,6,2,0,5,6,9,4,6,1,1,1,4,3,4,7,7,7,3,3,3,0,0,0,Normal_79
5,0,2,2,3,1,3,2,5,2,5,1,2,4,3,0,4,0,5,1,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Normal_8
0,3,3,3,3,2,3,0,0,1,4,3,5,4,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_80
5,7,6,10,24,4,14,5,5,6,4,4,26,7,2,7,4,0,0,5,0,2,3,3,2,2,0,9,19,0,24,5,2,10,2,3,Normal_81
0,4,4,5,4,1,2,0,0,3,6,6,3,14,7,0,0,2,10,7,7,3,10,0,0,6,2,0,2,0,0,3,2,0,0,0,Normal_82
5,6,3,6,10,6,10,5,4,1,6,3,4,5,3,0,5,5,6,2,5,0,0,0,1,1,1,5,5,5,1,1,1,0,0,0,Normal_83
5,5,3,5,5,3,5,5,5,2,5,2,2,5,2,0,5,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_84
5,3,14,3,6,3,3,3,5,2,13,8,3,22,11,17,3,1,22,11,5,2,19,19,19,19,10,0,3,3,0,0,0,3,9,0,Normal_85
0,5,2,5,5,1,5,0,0,3,5,5,9,5,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_86
5,4,2,4,4,1,4,4,5,2,3,3,6,3,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_87
5,5,2,5,5,3,5,5,5,4,5,3,2,5,3,0,5,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_88
5,2,3,5,5,2,5,5,5,3,5,2,3,5,4,0,5,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_89
5,1,10,1,2,2,1,1,5,0,9,6,15,18,9,18,5,0,0,9,0,5,13,13,10,10,4,0,1,0,1,0,0,1,6,0,Normal_9
0,4,6,6,9,4,4,0,0,4,9,10,5,17,8,0,0,2,16,9,6,3,14,0,0,13,6,2,7,0,0,4,2,0,0,0,Normal_90
0,5,7,18,29,9,14,0,0,6,13,5,11,23,11,0,0,12,18,12,8,9,18,0,0,13,8,9,24,0,0,13,5,0,0,0,Normal_91
0,5,3,5,5,2,5,0,0,3,5,1,8,5,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_92
0,4,7,9,17,6,11,0,0,3,11,7,9,20,11,2,0,6,16,9,0,8,15,0,0,14,6,6,12,0,0,4,1,0,0,0,Normal_93
3,5,5,7,14,4,10,3,3,3,6,2,8,8,7,2,3,4,6,1,5,2,4,4,3,3,2,6,10,4,3,3,1,4,1,2,Normal_94
0,2,5,5,5,1,5,0,0,1,4,1,7,4,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_95
0,3,3,3,3,2,3,0,0,1,4,3,5,4,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_96
2,7,9,10,11,7,12,2,2,6,18,8,11,14,8,4,2,4,10,6,9,9,9,3,6,13,13,7,7,0,2,5,5,0,0,0,Normal_97
5,5,6,5,5,2,5,5,5,3,5,1,8,5,1,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_98
0,1,5,9,10,3,6,0,0,5,8,2,14,11,3,1,0,0,0,8,0,3,8,0,0,6,5,2,6,0,0,6,4,0,0,0,Normal_99
