t09,t10,t19,t20,t17,t21,t22,t42,t38,t39,t40,t36,t35,t32,t43,t44,t30,t46,t69,t55,t31,t70,t65,t56,t47,t37,t62,t64,t11,t05,t15,t13,t52,t41,t24,t23,t34,t26,t27,t71,t28,t48,t68,t59,t16,t45,t66,t14,t29,t25,t60,t18,t33,t12,t57,t58,t06,t04,t07,t01,t02,t08,t03,label
3,5,2,4,6,7,3,13,3,12,7,17,1,8,9,9,3,9,2,12,4,3,9,14,3,5,6,5,1,1,1,1,3,7,3,3,3,3,3,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_0
0,5,0,3,3,5,3,9,0,25,7,37,0,12,18,18,0,6,3,5,0,3,8,9,2,5,7,0,4,2,2,0,4,4,1,1,1,1,1,0,1,6,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_1
0,5,0,4,4,13,4,23,0,10,2,12,0,3,5,5,0,10,8,14,0,1,12,16,5,5,5,0,5,0,2,0,9,10,5,5,2,5,5,0,5,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_10
0,5,0,2,7,10,2,17,0,10,2,16,0,6,7,7,0,5,2,6,0,3,4,4,4,3,4,0,4,6,7,0,1,9,7,7,6,7,7,2,5,3,3,0,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_100
0,5,0,5,7,5,3,5,0,14,4,18,0,5,8,8,0,13,5,42,0,11,17,49,1,4,10,0,5,5,1,0,27,1,2,2,6,2,2,1,1,6,6,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_101
4,5,3,3,4,7,3,18,4,14,4,22,8,6,10,10,1,11,3,18,6,9,11,17,3,4,4,3,2,0,2,1,7,11,3,3,1,3,3,0,3,4,4,5,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Anomalous_102
2,5,1,5,6,6,5,9,1,7,3,8,0,0,3,3,2,5,1,10,0,3,6,9,1,2,2,0,4,5,2,0,0,0,1,1,3,1,1,1,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_103
1,5,1,4,4,8,3,8,1,8,7,9,0,3,2,2,0,8,3,22,0,5,9,23,3,4,4,1,1,1,1,0,8,1,2,2,2,2,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_104
3,5,1,4,6,6,2,6,1,9,7,15,0,0,2,2,3,7,5,0,0,4,10,0,4,6,8,2,2,1,1,1,0,0,3,3,3,3,3,2,1,6,6,0,0,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_105
0,5,0,5,7,5,3,5,0,14,4,18,0,5,8,8,0,13,5,42,0,11,17,49,1,4,10,0,5,5,1,0,27,1,2,2,6,2,2,1,1,6,6,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_106
4,5,2,5,6,5,2,8,4,15,9,23,0,0,10,10,3,11,5,25,0,4,11,27,4,6,6,6,2,2,0,0,0,0,1,1,1,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_107
4,5,1,2,5,10,3,13,2,15,3,17,2,6,13,13,4,4,1,9,1,1,7,14,3,2,6,6,4,4,4,2,3,5,5,5,2,5,5,2,3,4,4,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_108
0,5,0,4,6,8,3,12,0,11,5,15,0,5,4,4,0,9,5,9,0,1,9,8,3,1,4,0,3,0,1,0,2,5,4,4,3,4,4,1,3,3,3,0,1,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_109
0,5,0,4,7,7,2,7,0,6,9,8,0,0,3,3,0,6,5,16,0,3,10,29,5,8,13,0,2,2,1,0,0,0,3,3,4,3,3,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_11
3,5,1,3,3,7,3,8,3,12,3,14,0,5,9,9,2,4,4,1,0,2,7,3,4,7,8,3,3,1,2,2,1,0,3,3,1,3,3,1,2,7,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_110
0,5,0,3,4,7,1,10,0,5,1,6,0,1,2,2,0,9,1,17,0,6,9,17,3,3,4,0,4,0,2,0,8,4,5,5,3,5,5,1,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_111
0,5,0,4,4,5,4,13,0,19,5,23,0,0,8,8,0,6,3,1,0,2,5,0,0,0,2,0,2,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_112
1,5,1,3,4,7,4,7,0,5,1,9,0,1,4,4,1,11,3,25,0,7,11,23,1,1,1,0,3,3,5,0,10,2,3,3,1,3,3,2,1,1,1,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_113
0,5,0,1,1,5,4,14,0,7,0,10,0,0,4,4,0,5,3,4,0,1,5,3,1,0,1,0,5,4,7,0,0,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_114
3,5,1,4,8,7,1,13,3,15,11,22,6,9,5,5,2,13,9,16,3,2,11,18,6,5,8,2,2,1,1,1,8,6,5,5,6,5,5,0,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_115
0,5,0,3,3,5,3,9,0,14,7,17,0,6,2,2,0,12,5,20,0,2,12,21,5,3,5,0,2,4,4,0,8,4,0,0,4,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_116
0,5,0,5,5,5,3,12,0,10,6,11,0,4,3,3,0,7,1,12,0,1,7,13,3,5,5,0,1,1,0,0,6,7,1,1,2,1,1,0,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_117
3,5,1,5,7,8,4,14,2,18,6,22,0,0,7,7,1,12,3,0,0,6,14,0,6,7,8,5,2,0,0,0,0,0,4,4,8,4,4,1,3,7,7,0,1,5,3,2,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,Anomalous_118
0,5,0,5,9,7,1,11,0,17,7,27,0,6,8,8,0,5,2,8,0,4,8,11,4,4,5,0,0,0,0,0,3,5,4,4,7,4,4,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_119
3,5,1,3,3,7,3,8,3,12,3,14,0,5,9,9,2,4,4,1,0,2,7,3,4,7,8,3,3,1,2,2,1,0,3,3,1,3,3,1,2,7,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_12
0,5,0,5,6,5,1,6,0,10,3,12,0,3,7,7,0,14,2,26,0,5,13,28,9,7,10,0,4,1,4,0,7,2,2,2,2,2,2,1,1,9,9,0,4,5,3,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_120
3,5,2,3,4,6,3,9,2,11,1,22,1,5,6,6,2,7,3,9,2,4,7,8,4,3,4,2,3,2,5,1,5,4,3,3,4,3,3,1,2,3,3,0,0,3,3,4,2,2,3,0,0,1,2,0,0,0,0,0,0,0,0,Anomalous_121
0,5,0,3,6,11,6,14,0,7,3,15,0,0,1,1,0,7,3,2,0,4,9,3,4,5,6,0,2,0,4,0,0,0,5,5,4,5,5,1,4,3,3,0,0,4,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_122
1,5,0,5,8,6,1,4,0,3,4,3,0,0,1,1,1,6,2,11,0,0,7,12,4,5,5,0,3,6,3,0,0,0,4,4,3,4,4,3,1,5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_123
0,5,0,5,5,6,3,6,0,10,5,13,0,3,2,2,0,8,2,21,0,7,10,24,5,3,5,0,1,2,1,0,12,1,2,2,2,2,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_124
0,5,0,4,4,5,4,13,0,19,5,23,0,0,8,8,0,6,3,1,0,2,5,0,0,0,2,0,2,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_125
0,5,0,4,7,8,1,5,0,8,8,10,0,4,7,7,0,10,8,21,0,11,13,29,11,12,17,0,2,1,2,0,12,0,6,6,3,6,6,3,3,17,17,0,1,10,2,0,2,1,5,0,0,0,0,5,0,0,0,0,0,0,0,Anomalous_126
0,5,0,4,4,5,2,9,0,9,2,11,0,1,5,5,0,10,2,10,0,6,11,11,2,2,4,0,2,1,1,0,5,4,2,2,1,2,2,0,2,2,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_127
2,5,1,4,4,7,2,13,2,21,4,28,4,16,12,12,0,7,1,4,0,4,7,3,1,1,2,2,1,0,3,1,1,6,4,4,5,4,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Anomalous_128
2,5,1,5,6,6,4,5,2,8,3,13,4,4,4,4,1,6,8,5,1,1,8,6,0,2,2,1,2,1,1,0,4,0,1,1,3,1,1,1,0,1,1,3,1,1,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Anomalous_129
2,5,0,4,6,5,1,12,2,9,4,14,1,2,3,3,1,8,1,10,0,2,8,11,5,3,5,2,4,3,2,1,4,7,2,2,7,2,2,0,2,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Anomalous_13
1,5,0,4,4,6,3,10,1,7,6,12,1,2,3,3,1,15,3,20,2,7,12,17,6,7,7,1,2,2,1,0,7,4,2,2,0,2,2,0,2,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_130
3,5,2,5,7,5,1,10,3,13,3,15,0,0,3,3,0,7,2,0,0,0,8,0,5,5,8,6,3,2,0,0,0,0,4,4,5,4,4,0,4,5,5,0,2,6,3,1,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,Anomalous_131
5,5,2,4,5,6,3,9,4,13,5,21,8,7,1,1,3,8,4,11,4,4,8,10,1,2,4,4,3,2,2,1,5,4,2,2,6,2,2,1,1,2,2,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Anomalous_132
0,5,0,4,7,7,1,7,0,7,1,10,0,3,5,5,0,5,5,10,0,4,6,8,4,3,6,0,4,6,4,0,5,3,4,4,3,4,4,3,1,4,4,0,2,6,2,1,1,1,3,0,0,0,0,5,0,0,0,0,0,0,0,Anomalous_133
3,5,0,4,5,7,3,12,2,11,3,17,1,3,8,8,2,8,3,18,2,4,10,18,4,6,6,5,3,2,2,1,4,6,2,2,1,2,2,1,1,6,6,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,Anomalous_134
1,5,0,5,8,6,1,4,0,3,4,3,0,0,1,1,1,6,2,11,0,0,7,12,4,5,5,0,3,6,3,0,0,0,4,4,3,4,4,3,1,5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_135
0,5,0,4,5,6,3,7,0,7,2,9,0,3,5,5,0,5,5,8,0,5,8,10,3,1,3,0,2,3,2,0,10,2,3,3,2,3,3,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_136
0,5,0,4,5,5,2,8,0,6,5,9,0,0,2,2,0,15,8,0,0,2,15,0,4,5,5,0,2,0,1,0,0,0,3,3,2,3,3,0,3,5,5,0,1,3,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_137
3,5,2,4,6,7,3,13,3,12,7,17,1,8,9,9,3,9,2,12,4,3,9,14,3,5,6,5,1,1,1,1,3,7,3,3,3,3,3,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_138
3,5,1,5,7,8,4,14,2,18,6,22,0,0,7,7,1,12,3,0,0,6,14,0,6,7,8,5,2,0,0,0,0,0,4,4,8,4,4,1,3,7,7,0,1,5,3,2,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,Anomalous_139
2,5,1,5,6,6,4,5,2,8,3,13,4,4,4,4,1,6,8,5,1,1,8,6,0,2,2,1,2,1,1,0,4,0,1,1,3,1,1,1,0,1,1,3,1,1,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Anomalous_14
1,5,0,5,7,5,0,7,1,8,4,14,2,2,1,1,0,4,7,4,0,4,12,11,7,7,10,1,3,4,2,0,4,3,2,2,4,2,2,1,1,5,5,0,3,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_140
5,5,2,4,5,6,3,9,4,13,5,21,8,7,1,1,3,8,4,11,4,4,8,10,1,2,4,4,3,2,2,1,5,4,2,2,6,2,2,1,1,2,2,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Anomalous_141
0,5,0,5,5,5,3,12,0,10,6,11,0,4,3,3,0,7,1,12,0,1,7,13,3,5,5,0,1,1,0,0,6,7,1,1,2,1,1,0,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_142
0,5,0,5,6,6,2,16,0,7,5,11,0,0,1,1,0,13,4,0,0,3,15,0,9,11,13,0,3,2,0,0,0,0,3,3,3,3,3,1,2,10,10,0,3,9,2,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_143
0,5,0,4,6,6,2,10,0,10,4,18,0,2,3,3,0,7,2,13,0,2,7,12,2,2,3,0,1,1,1,0,6,5,3,3,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_144
5,5,1,4,5,6,3,14,5,11,0,16,5,5,8,8,2,6,2,4,1,2,6,3,2,1,3,3,4,1,2,1,1,8,2,2,1,2,2,0,2,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Anomalous_145
0,5,0,4,5,5,2,6,0,12,6,15,0,0,5,5,0,6,4,4,0,3,9,10,5,4,6,0,3,4,2,0,0,0,2,2,3,2,2,0,2,4,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_146
3,5,1,4,5,6,3,9,2,4,3,5,0,0,1,1,2,7,9,3,0,7,7,3,5,3,7,0,3,2,1,1,0,0,2,2,1,2,2,2,0,2,2,0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_147
4,5,2,4,5,5,1,10,3,5,3,7,2,1,1,1,4,6,1,9,2,2,6,8,2,2,3,2,2,2,1,1,2,6,3,3,4,3,3,1,2,3,3,0,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Anomalous_148
1,5,1,3,4,7,4,7,0,5,1,9,0,1,4,4,1,11,3,25,0,7,11,23,1,1,1,0,3,3,5,0,10,2,3,3,1,3,3,2,1,1,1,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_149
4,5,4,4,4,5,2,9,4,30,4,36,5,15,10,10,0,12,4,10,6,4,12,10,2,3,4,3,1,2,2,0,1,4,1,1,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_15
0,5,0,3,5,6,2,5,0,6,4,9,0,2,3,3,0,5,3,8,0,3,10,13,5,5,6,0,4,3,2,0,5,1,3,3,4,3,3,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_150
0,5,0,5,6,5,2,7,0,8,2,11,0,2,2,2,0,5,2,1,0,2,5,0,0,1,1,0,0,0,0,0,0,2,3,3,2,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_151
0,5,0,4,4,5,3,9,0,13,3,19,0,0,10,10,0,6,5,0,0,2,6,0,3,1,3,0,2,2,2,0,0,0,1,1,0,1,1,1,0,2,2,0,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_152
1,5,0,5,6,6,3,14,1,19,2,26,2,8,14,14,0,6,2,3,0,2,5,2,0,3,4,1,3,1,0,0,1,8,3,3,1,3,3,0,3,2,2,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_153
0,5,0,4,5,5,1,5,0,5,1,6,0,2,3,3,0,9,3,15,0,2,9,15,3,3,4,0,5,4,3,0,4,2,4,4,3,4,4,2,2,3,3,0,2,2,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_154
0,5,0,4,6,12,5,16,0,3,2,4,0,0,0,0,0,9,2,14,0,3,9,13,4,4,7,0,3,1,1,0,1,6,3,3,3,3,3,2,1,6,6,0,0,6,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_155
3,5,2,5,6,5,3,10,3,9,3,12,0,2,4,4,3,7,0,15,2,4,7,14,2,2,3,2,1,1,0,0,5,5,1,1,4,1,1,0,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_156
3,5,1,4,5,6,2,7,3,6,5,8,2,2,2,2,1,8,4,10,1,3,9,12,5,5,5,3,4,2,2,0,6,2,3,3,3,3,3,1,2,5,5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Anomalous_157
0,5,0,3,3,5,3,9,0,14,7,17,0,6,2,2,0,12,5,20,0,2,12,21,5,3,5,0,2,4,4,0,8,4,0,0,4,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_158
0,5,0,4,6,5,2,12,0,11,4,15,0,0,5,5,0,9,4,0,0,2,9,0,2,3,3,0,1,1,1,0,0,0,2,2,4,2,2,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_159
0,5,0,4,4,13,4,23,0,10,2,12,0,3,5,5,0,10,8,14,0,1,12,16,5,5,5,0,5,0,2,0,9,10,5,5,2,5,5,0,5,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_16
3,5,1,4,4,5,4,5,3,5,3,6,0,0,1,1,1,9,0,13,3,3,8,12,7,6,7,4,3,1,2,0,8,0,0,0,0,0,0,0,0,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_160
1,5,1,5,6,7,3,9,1,4,5,7,0,0,1,1,0,7,3,0,0,1,8,0,3,2,4,0,1,0,0,0,0,0,3,3,1,3,3,1,2,3,3,0,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Anomalous_161
2,5,0,5,6,6,3,9,2,7,5,11,1,2,3,3,2,11,5,22,1,2,11,23,3,3,6,1,4,5,1,0,4,3,1,1,2,1,1,0,1,6,6,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Anomalous_162
0,5,0,3,5,5,3,10,0,7,3,9,0,2,4,4,0,14,5,22,0,5,14,21,4,1,4,0,4,7,5,0,8,5,2,2,2,2,2,0,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_163
0,5,0,4,6,5,2,12,0,11,4,15,0,0,5,5,0,9,4,0,0,2,9,0,2,3,3,0,1,1,1,0,0,0,2,2,4,2,2,0,2,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_164
1,5,1,5,8,6,2,13,1,10,5,15,0,0,4,4,1,11,5,25,0,3,10,23,6,6,6,2,3,2,2,0,0,0,4,4,6,4,4,0,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_165
0,5,0,3,4,8,6,14,0,7,5,11,0,1,2,2,0,6,2,5,0,1,5,3,2,3,3,0,3,2,2,0,0,6,1,1,3,1,1,0,1,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anomalous_166
